speed_1042,power_1042,speed_1043,power_1043,speed_1044,power_1044,speed_1045,power_1045,speed_1046,power_1046,speed_1047,power_1047,speed_1048,power_1048,speed_1049,power_1049,speed_1050,power_1050,speed_1051,power_1051,speed_1052,power_1052,speed_1053,power_1053,speed_1054,power_1054,speed_1056,power_1056
6.039999962,309.0799866,5.130000114,164.8800049,5.519999981,205.9499969,4.940000057,123.5899963,4.949999809,-6.199999809,5.579999924,275.3500061,8.909999847,1178.050049,8.859999657,1174,8.699999809,1052.640015,8.329999924,862.4099731,9.279999733,1418.390015,9.079999924,1281.310059,8.569999695,1072.160034,8.130000114,980.5800171
6.889999866,516.8099976,5.570000172,221.8800049,7,547.8300171,7.059999943,526.5599976,4.989999771,-3.569999933,6.449999809,428.0400085,7.25,682.25,6.03000021,294.1300049,4.960000038,160.7599945,5.909999847,314.1099854,7.730000019,851.5999756,7.559999943,744.4899902,4.630000114,163.8600006,5.699999809,274.0799866
6.840000153,493.75,5.239999771,205.7200012,7.130000114,637.8099976,7.239999771,608.8699951,4.800000191,-3.980000019,6.320000172,392.5,7.260000229,733.9099731,6.510000229,404.2099915,4.75,133.0599976,5.650000095,259.3800049,8,891.7399902,6.730000019,537.2399902,4.860000134,149.0599976,6.849999905,433.0299988
7.239999771,646.6300049,7.210000038,539.5700073,7.440000057,695.6799927,7.269999981,548.5499878,4.829999924,-5.289999962,4.670000076,113.6100006,6.409999847,434.2399902,6.400000095,412.2600098,7.159999847,597.3699951,6.880000114,507.3900146,7.449999809,742.9000244,7.010000229,577.0100098,7.550000191,763.7800293,6.96999979,587.6900024
7.070000172,599.960022,6.579999924,440.3999939,7.190000057,614.9000244,7,522.75,4.650000095,-4.760000229,4.019999981,41.90000153,6.699999809,472.1400146,6.010000229,316.3399963,7.019999981,548.7399902,6.849999905,513.2999878,7.889999866,875.2399902,6.929999828,569.7600098,7.679999828,701.5800171,6.800000191,524.5200195
7.110000134,584.0700073,6.880000114,442.25,6.630000114,490.3200073,7.210000038,591.1099854,4.929999828,-5.090000153,4.099999905,52.72000122,6.190000057,392.6499939,5.489999771,251.1199951,6.760000229,516.9000244,7.320000172,594.960022,7.25,720.2700195,6.5,464.0100098,7.090000153,563.1400146,6.369999886,442.9200134
6.320000172,418.0299988,5.769999981,259.7000122,6.039999962,345.5599976,6.650000095,429.6799927,4.960000038,-4.099999905,4.150000095,60.13000107,5.46999979,221.6600037,4.590000153,128.6199951,6.119999886,368.519989,6.900000095,483.8900146,7.039999962,610.1500244,6.25,388.0899963,6.400000095,424.0700073,6.340000153,415.4100037
5.989999771,305.25,5.690000057,205.1499939,5.860000134,272.2600098,5.510000229,223.5700073,4.869999886,-4.5,4.760000229,76.76000214,6.059999943,310.8999939,5.300000191,200.75,4.460000038,100.4599991,5.829999924,265.7799988,6.610000134,443.4700012,6.320000172,393.5499878,5.840000153,261.4299927,5.710000038,259.1300049
5.519999981,215.8200073,4.920000076,151.6000061,5.340000153,225.9900055,4.159999847,55.34000015,4.329999924,-5.489999771,4.03000021,62.36999893,5.880000114,276.0499878,4.429999828,103.5899963,4.289999962,30.34000015,5.199999809,143.0599976,6.610000134,430.480011,5.829999924,309.0499878,5.25,206.5599976,5.829999924,246.6699982
4.690000057,104.7900009,4.659999847,58.66999817,4.590000153,93.37999725,4.889999866,100.1800003,4.579999924,-3.859999895,5.190000057,198.2200012,5.119999886,201.7100067,4.809999943,180.5299988,5.079999924,182.4199982,5.409999847,186.0299988,5.650000095,322.9400024,5.46999979,235.9400024,5.019999981,190.7299957,5.300000191,252
